+-----------------------+------------------------------+-----------------------+-----------+---------------+------------+------------+--------------------+-------------------+-------------------+----------------+------------------------+------------+---------------+-----------+---------------+--------------------------------+------------+---------+------------+--------------+-------------------------+-------------------------+-----------+
|         Name          |            Period            |         dP/dt         |     B     |     dE/dt     |    Age     | References |         NH         |       Gamma       |        kT         |      kT2       |        Flux [1]        | References |   Distance    | Reference |  Luminosity   |   Proposed Associations [2]    | References | Opt/IR? | Bands? [3] | Activity [4] |     Right Ascension     |       Declination       | Reference |
| SGR 1627-41           |  2.594578      0.000006      |   1.9       0.4       |   2.25    |    42.9       |      2.16  |   9, 10    | 10     2     2     | 2.9   0.8   0.8   |                   |                |   0.25   0.17   0.10   |   32, 33   |  11.0 0.3 0.3 |    51     |     3.6       | CTB 33, MC -71, SNR G337.0-0.1 |   51, 70   |  no     |    X       |     BT       | 16 35 51.844    0.020   | -47 35 23.31     0.20   |    87     |
| CXOU J164710.2-455216 | 10.610644      0.000017      | < 0.04                | < 0.659   | <   0.0132    | >  420     |   11       |  2.39  0.05  0.05  | 3.86  0.22  0.22  | 0.59  0.06  0.06  |                |   0.25   0.04   0.04   |   11       |   3.9 0.7 0.7 |    52     |     0.45      | Westerlund 1                   |   71       |  no     |    X       |     BT       | 16 47 10.20     0.03    | -45 52 16.90     0.30   |    71     |
| 1RXS J170849.0-400910 | 11.00502461    0.00000017    |   1.9455    0.0013    |   4.68    |     0.576     |      8.96  |   2        |  1.36  0.04  0.04  | 2.792 0.008 0.012 | 0.456 0.007 0.004 |                |  24.3                  |   34       |   3.8 0.5 0.5 |    46     |    42         |                                |            |  maybe  |    HX      |     G        | 17 08 46.87     0.06    | -40 08 52.44     0.70   |    88     |
| CXOU J171405.7-381031 |  3.825352      0.000004      |   6.40      0.05      |   5.01    |    45.1       |      0.947 |   12       |  3.95  0.15  0.14  | 3.45  0.09  0.08  |                   |                |   2.68   0.09   0.09   |   12       | ~13.2         |    53     |    56         | SNR CTB 37B                    |   72       |  no     |    X       |              | 17 14 05.74     0.05    | -38 10 30.9      0.6    |    89     |
| SGR J1745-2900        |  3.76363824    0.00000013    |   1.385     0.015     |   2.31    |    10.3       |      4.31  |   13       |                    |                   |                   |                | < 0.013                |   35       |   8.3 0.3 0.3 |    54     |  <  0.11      | Galactic Center                |   35       |  no     |    HXR     |     BT       | 17 45 40.164    0.002   | -29 00 29.818    0.090  |    90     |
| SGR 1806-20           |  7.54773       0.00002       |  49.5                 |  19.6     |    45.5       |      0.242 |   14       |  6.9   0.4   0.4   | 1.6   0.1   0.1   | 0.55  0.07  0.07  |                |  18      1      1      |   36       |   8.7 1.8 1.5 |    55     |   160         | W31, Star cluster, MC 13A      |   73-75    |  yes    |    HXO     |     BF       | 18 08 39.337    0.004   | -20 24 39.85     0.06   |    91     |
| XTE J1810-197         |  5.5403537     0.0000002     |   0.777     0.003     |   2.10    |     1.80      |     11.3   |   15       |  0.63  0.05  0.05  |                   | 0.18  0.02  0.02  |                |   0.029                |   37       |   3.5 0.5 0.4 |    56     |     0.043     |                                |            |  yes    |    XOR     |     BT       | 18 09 51.08696  0.00028 | -19 43 51.9315   0.0040 |    92     |
| Swift J1818.0-1607    |  1.363490      0.000003      |   9         1         |   3.54    |  1400         |      0.240 |   16, 17   |                    |                   |                   |                |                        |            | ~ 4.8         |    16     |               |                                |            |  no     |    GR      |     B        | 18 18 03.7     11.2     | -16 07 31.8    162.0    |    93     |
| Swift J1822.3-1606    |  8.43772106    0.00000006    |   0.0021    0.0002    |   0.136   |     0.00140   |   6260     |   18       |  0.453 0.008 0.008 |                   | 0.12  0.02  0.02  |                | < 0.0013               |   38       |   1.6 0.3 0.3 |    38     |  <  0.00040   | M17                            |   38       |  no     |    X       |     BT       | 18 22 18.00     0.12    | -16 04 26.8      1.8    |    94     |
| SGR 1833-0832         |  7.5654084     0.0000004     |   0.35      0.03      |   1.65    |     0.319     |     34.2   |   19       |                    |                   |                   |                | < 0.2                  |   19       |               |           |               |                                |            |  no     |    X       |     B        | 18 33 44.37     0.03    | -08 31 07.5      0.4    |    95     |
| Swift J1834.9-0846    |  2.4823018     0.0000001     |   0.796     0.012     |   1.42    |    20.5       |      4.94  |   20       |                    |                   |                   |                | < 0.004                |   39       |   4.2 0.3 0.3 |    57     |  <  0.0084    | SNR W41                        |   20       |  no     |    X       |     BT       | 18 34 52.118    0.040   | -08 45 56.02     0.60   |    20     |
| 1E 1841-045           | 11.788978      0.000001      |   4.092     0.015     |   7.03    |     0.986     |      4.57  |   2        |  2.2   0.1   0.1   | 1.9   0.2   0.2   | 0.45  0.03  0.03  |                |  21.3                  |   40       |   8.5 1.3 1.0 |    58     |   180         | SNR Kes 73                     |   76       |  maybe  |    HX      |     BG       | 18 41 19.343    0.020   | -04 56 11.16     0.30   |    87     |
| 3XMM J185246.6+003317 | 11.55871346    0.00000006    | < 0.014               | < 0.407   | <   0.00358   | > 1310     |   21       |                    |                   |                   |                | < 0.001                |   21       | ~ 7.1         |    59     |  <  0.0060    |                                |            |  no     |    X       |     T        | 18 52 46.67     0.02    | +00 33 17.8      0.3    |    59     |
| SGR 1900+14           |  5.19987       0.00007       |   9.2       0.4       |   7.00    |    25.8       |      0.896 |   22       |  2.12  0.08  0.08  | 1.9   0.1   0.1   | 0.47  0.02  0.02  |                |   4.8    0.2    0.2    |   22       |  12.5 1.7 1.7 |    60     |    90         | Star cluster                   |   77       |  maybe  |    HX      |     BF       | 19 07 14.33     0.01    | +09 19 20.1      0.2    |    96     |
| SGR 1935+2154         |  3.2450650     0.0000001     |   1.43      0.01      |   2.18    |    16.5       |      3.60  |   23       |  1.6   0.2   0.2   | 1.8   0.5   0.5   | 0.47  0.02  0.02  |                |                        |   23       |               |           |               | SNR G57.2+0.8                  |   78       |  no     |    HXR     |     B        | 19 34 55.5978   0.0503  | +21 53 47.7864   0.7000 |    23     |
| 1E 2259+586           |  6.9790427250  0.0000000015  |   0.0483695 0.0000063 |   0.588   |     0.0562    |    229     |   2        |  1.012 0.007 0.007 | 3.75  0.04  0.04  | 0.37  0.01  0.01  |                |  14.1    0.3    0.3    |   41       |   3.2 0.2 0.2 |    61     |    17         | SNR CTB 109                    |   79       |  yes    |    HXOI    |     BGA      | 23 01 08.295    0.077   | +58 52 44.45     0.60   |    97     |
|                       |                              |                       |           |               |            |            |                    |                   |                   |                |                        |            |               |           |               |                                |            |         |            |              |                         |                         |           |
| SGR 0755-2933 #       |                              |                       |           |               |            |            |                    |                   |                   |                |                        |            |               |           |               |                                |            |  no     |    X       |     BT       | 07 55 42.48     0.15    | -29 33 49.2      2.0    |    98     |
| SGR 1801-23 #         |                              |                       |           |               |            |            |                    |                   |                   |                |                        |            |               |           |               |                                |            |  no     |            |     B        | 18 00 59                | -22 56 48               |    99     |
| SGR 1808-20 #         |                              |                       |           |               |            |            |                    |                   |                   |                |                        |            |               |           |               |                                |            |  no     |            |     B        | 18 08 11.2     29.5     | -20 38 49      414      |    100    |
| AX J1818.8-1559 #     |                              |                       |           |               |            |            |  3.6   0.5   0.5   | 1.17  0.17  0.17  |                   |                |   1.68   0.16   0.15   |   42       |               |           |               |                                |            |  no     |    X       |     B        | 18 18 51.38     0.04    | -15 59 22.62     0.60   |    42     |
| AX J1845.0-0258 #     |  6.97127       0.00028       |                       |           |               |            |   24       |  7.8   2.3   1.8   | 1.0   0.5   0.3   |                   |                |   0.33   0.07   0.08   |   43       | ~ 8.5         |    24     |     2.9       | SNR G29.6+0.1                  |   80       |  no     |    X       |     T        | 18 44 54.68     0.04    | -02 56 53.1      0.6    |    43     |
| SGR 2013+34 #         |                              |                       |           |               |            |            |                    |                   |                   |                |                        |            | ~ 8.8         |    62     |               | W58                            |   62       |  no     |            |     B        | 20 13 56.9      7.3     | +34 19 48       90      |    62     |
|                       |                              |                       |           |               |            |            |                    |                   |                   |                |                        |            |               |           |               |                                |            |         |            |              |                         |                         |           |
| PSR J1846-0258 ##     |  0.32657128834 0.00000000004 |   0.7107450 0.0000002 |   0.488   |  8060         |      0.728 |   25       |  4.0   0.1   0.1   | 1.1   0.1   0.1   |                   |                |   4.3    0.7    0.7    |   25, 44   |   6.0 1.5 0.9 |    63     |    19         | SNR Kes 75                     |   81       |  no     |    HX      |     BG       | 18 46 24.94     0.01    | -02 58 30.1      0.2    |    101    |
+-----------------------+------------------------------+-----------------------+-----------+---------------+------------+------------+--------------------+-------------------+-------------------+----------------+------------------------+------------+---------------+-----------+---------------+--------------------------------+------------+---------+------------+--------------+-------------------------+-------------------------+-----------+
